uint32 SIZE,uint32 SF,uint32 BAD_WIDTH,uint32 CODE_RATE,uint64 TIMESTAMP,string PHY_PAYLOAD
68,7,125,5,1504888865,40D12B012600494B01E75FF29FEBEA76D9EA628B6AE2F45FC55E84DA2E5E98CA0335
68,7,125,5,1504888933,40D12B0126004A4B0136F421DD460185AD805B34FB89921A42AE01EEF03D7F3ECE7F
68,7,125,5,1504889001,40D12B0126004B4B01816B19831F5880582EE74E4831B8E2C6CE3DBFA6EB33462B15
68,7,125,5,1504889205,40D12B0126004E4B01E47B39F28D86EB523B67F84F69FA53A409F9845D062B78D1C5
68,7,125,5,1504889341,40D12B012600504B011DF5DFF9A6FDE4E71BD319AAF94B935B44DE4477BD78CAEC62
68,7,125,5,1504889409,40D12B012600514B0120BCDCFABABC2797242EB23E3F927A3E27B901C4ABAD7DCC88
68,7,125,5,1504889681,40D12B012600554B01086E31D0DE61CBC9D1BED7F69FEF89C9D7C87D0EA2D18223A3
68,7,125,5,1504889749,40D12B0126005E4B01C361B427DF4BEE4683794EFCB018621E17AB7631FEA0B78A3F
68,7,125,5,1504889885,40D12B012600584B01855E3C4D6C2B2AB1B6083098BEFE44AE00014BE07009CACD3F
68,7,125,5,1504890225,40D12B0126005D4B016CEAA61D870B122C87A392A1BDA8DAD2CDB43B30A8B9612224
68,7,125,5,1504890293,40D12B0126005E4B013B743E98F69D9AD2BA0ECF0CFBA280D9A12819CF940B98B5D1
68,7,125,5,1504890361,40D12B0126005F4B01C20F2C8BC74CBC0DEC45AE499632999EF78A60109F892CDB6C
68,7,125,5,1504890429,40D12B012600604B01F6491196C972912B9EDBA43C2A5BEEAFC62E4665C1A5D15A45
68,7,125,5,1504890497,40D12B012600614B019EE201E6A770A0DB590BE2532AD8E0F15EC46FB3E654C4AB1F
68,7,125,5,1504890565,40D12B012600624B011EB611C2FF9EC046F1ACBB8682F4AE9962DB328185A22EA903
68,7,125,5,1504891041,40D12B012600694B016395BD40043BCF4D15152795D6CFE448CEBCE645C6927A1B64
68,7,125,5,1504891109,40D12B0126C06A870161AB9EC02871D851A38D4345477F4A7EDB1004C4AB38445B82
68,7,125,5,1504891313,40D12B0126006D4B0130FAC9D29C1EB01D8110747E713795BCD6DA4495C050F1F8BD
68,7,125,5,1504891381,40D12B0126006E4B01CC231EF2E1A53C66C6ACCCE736B46D1B4AB2E97662F78A7DE6
68,7,125,5,1504891449,40D12B0126006F4B01EE3BC08076E48FC592BC89F184C2A0D16822E4529AA8529E65
68,7,125,5,1504891517,40D12B012600704B011DFFCCE0B32AE426B8FD0D022795B88F6A4B1FABE5B6C396EC
68,7,125,5,1504891653,40D12B012600724B01CC5F361DCD1BBA1E745E6F33E0BD4737531FE2137122D08188
68,7,125,5,1504891857,40D12B012600754B01B7674B8247C70CF518EA7055F0698BA446FF64C1964E427216
68,7,125,5,1504891993,40D12B012600774B012275EBBA628B647ACBCFB98FDFA95628792AB9501969B81449
68,7,125,5,1504892265,40D12B0126007B4B0127813B992850C76B23A3C1EBECB32C4EF22A9D8F96DA2A0B3B
68,7,125,5,1504892469,40D12B0126007E4B01ACD13CBA029E788F9C85A9D0BB18D69101F34EC66691029C59
68,7,125,5,1504892605,40D12B012600804B01B9C496E5959CE93344A7CC8BD6574374D61599BDB6E8A4A010
68,7,125,5,1504892741,40D12B012600824B0149B6A4247577D5C5E448EFAFFE4E1781DB4AD9B0C3DB3150F4
68,7,125,5,1504892877,40D12B012600844B01390AA574926C4E8936E09E6EF5A38CEE76DFFDF3DE01B9125F
68,7,125,5,1504892945,40D12B012600854B01FFE67E953BB1EA1DD60403EE710DF5404D71360A4B79820144
68,7,125,5,1504893081,40D12B012600874B01CA9E5A0FA66BCA8A2325A0323B88377660CB32DF037EB018B8
68,7,125,5,1504893217,40D12B012600894B011D8331DDC116F9FD5D6BC7471ABBB2EA1A5E0521574A0973E7
68,7,125,5,1504893489,40D12B0126008D4B01E765E91EA0852CF52C9D4BFAF3F45EEE0658EFDE4E215E28DD
68,7,125,5,1504893557,40D12B0126008E4B01470C479E483CF8E67FF7D47525D9BF6DCB88B5CAB3C0FB6075
68,7,125,5,1504893625,40D12B0126008F4B01DD8403BA993049E8975488C1F072A3E66E8D99D40A02DA7E0D
68,7,125,5,1504893829,40D12B012600924B010371B61AC566E37E207F2276C00DFC548B7C0FA782E754FB32
68,7,125,5,1504894033,40D12B012600954B01DA2DF569F6A1D17CF50EB8A65DA26C5A98C608125D4CEA643C
68,7,125,5,1504894237,40D12B012600984B018E585A9E6D5E18FC881468D154D548FFBE5FF7EC4E34E2CA46
68,7,125,5,1504894305,40D12B012600994B010CE9912BA75749C58462BC94530E58EEEE3F84173850872573
68,7,125,5,1504894373,40D12B0126009A4B01A058CB7191F05956457C16D875F929DDCBFCA245CAE5BC0384
68,7,125,5,1504894441,40D12B0126005B4B013974E571C94FA65F9748DCDD541B222F7E93006D44C140FA52
68,7,125,5,1504894509,40D12B0126009C4B017CB139A6AC91BA608F34DDA870996EC66B2ECDC32C2D6D4C24
68,7,125,5,1504894713,40D12B0126009F4B012B2E17D16187452D0407C29E09037FC80741EF50512C8CB9A9
68,7,125,5,1504894917,40D12B012600A24B012F382CC568F3608DE016BBA3DF5B168208127128C4D2449454
68,7,125,5,1504895053,40D12B012600A44B016D87793751E2F39426EE065B710BD571C96D576D731429B805
68,7,125,5,1504895121,49D12B012600A54B01001092D26D52D74B3D1CA1342D0B7DBF7813CAF669905D22D7
68,7,125,5,1504895189,40D12B012600A64B01EAEE1F9CC4AA3FB365EB03965F6430E2B7EB7F9D58BD75C56E
